FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
Baganda	197713_A02_APP5117366	0.009097815	0.0130405	-0.0005101133	-0.03340672	0.002561901	-0.01170806	0.0005143825	-0.01968409	0.01812582	0.04024052
Baganda	197713_A06_APP5117681	0.0007795406	0.01111121	-0.0005914948	-0.03104661	-0.005544623	-0.01474401	0.004159755	-0.02342435	0.01879417	0.03384459
Baganda	197713_A07_APP5117723	0.004021865	0.009002131	-0.0007245576	-0.03070653	0.005654849	-0.009506419	-0.000240336	-0.02466208	0.01562809	0.03015374
Baganda	197713_A09_APP5117917	0.005348063	0.01015018	0.0004332691	-0.03103365	0.003555321	-0.01067592	0.002080211	-0.02194295	0.01673523	0.03101081
Baganda	197713_B01_APP5117332	0.00677669	0.01168491	-0.0007951163	-0.03337622	0.008251679	-0.009659774	0.002235179	-0.0214106	0.01648522	0.02375963
Baganda	197713_C01_APP5117336	0.006941193	0.0104343	-0.0006647101	-0.03332689	0.004060281	-0.01416895	0.002697228	-0.01956466	0.01761263	0.0305178
Baganda	197713_C02_APP5117387	0.00533833	0.01174719	-0.0005553508	-0.03358402	0.002313602	-0.009663041	0.005291119	-0.02342792	0.02012768	0.03336389
Baganda	197713_C06_APP5117698	0.007623352	0.01205566	-0.001030003	-0.03160332	0.002904326	-0.01151343	-0.001655699	-0.01948272	0.009436666	0.03040269
Baganda	197713_C12_APP5118278	-0.001746352	0.007199448	0.0007768215	-0.0282724	0.006465122	-0.007388027	0.001852193	-0.02110093	0.01516449	0.020071
Baganda	197713_D02_APP5117398	0.005139193	0.0112428	5.545115e-05	-0.03447182	0.001115919	-0.008785245	0.001621119	-0.01852055	0.02066223	0.03359388
Baganda	197713_D10_APP5118033	0.006009772	0.01236463	-0.002213862	-0.03421737	-0.0003627352	-0.01199167	-0.0004528029	-0.0201448	0.01883066	0.0337632
Baganda	197713_E02_APP5117401	0.007828825	0.01231119	-0.001576392	-0.03175593	0.002133262	-0.01367331	0.004176305	-0.02057431	0.01284346	0.03314714
Baganda	197713_E07_APP5117760	0.006269643	0.01213848	-0.001953078	-0.03186356	0.006645583	-0.009293843	0.003110115	-0.01915647	0.0216282	0.03430074
Baganda	197713_F07_APP5117799	0.004083787	0.01139839	-0.0004347993	-0.03242562	0.004065363	-0.009736509	0.003779244	-0.01794176	0.01342592	0.02962614
Baganda	197713_G01_APP5117358	0.005678147	0.0108336	-0.0005161237	-0.03040223	0.003610094	-0.00898973	0.004393221	-0.0201297	0.01590187	0.02565864
Baganda	197713_G03_APP5117506	0.007491372	0.01165782	-0.0007882548	-0.03406169	0.002740037	-0.008811799	0.007068512	-0.02424976	0.01180034	0.03139658
Baganda	197713_G05_APP5117676	0.00670693	0.01383719	-0.002375629	-0.03282103	0.0005185439	-0.01006987	0.002388848	-0.01915143	0.01887993	0.03156479
Baganda	197713_G07_APP5117808	-0.0002044803	0.007036146	-0.0004237706	-0.02501915	0.009594688	-0.01487927	0.002556459	-0.009361502	0.006772041	0.02692923
Baganda	197713_G08_APP5117901	0.009225337	0.01179646	-0.000848991	-0.03142278	1.548294e-06	-0.01016802	0.002232508	-0.02387453	0.009728781	0.02693422
Baganda	197713_G09_APP5117989	0.00595325	0.01217684	-0.0008139013	-0.03258294	0.005950225	-0.008492635	5.551686e-05	-0.01741119	0.01727292	0.03236056
Baganda	197713_G10_APP5118071	0.006990559	0.01242693	-0.00248397	-0.03199974	0.002655911	-0.01400356	0.003957114	-0.01939128	0.01482695	0.02959961
Baganda	197713_H04_APP5117624	-0.001117676	0.007781374	-0.000466733	-0.02540689	0.001812858	-0.009622606	0.009047253	-0.01865633	0.01584386	0.0316877
Baganda	197713_H07_APP5117809	0.005593003	0.01136689	-0.000130412	-0.02620359	0.00248213	-0.01215632	0.004595899	-0.01678298	0.006632222	0.01680631
Baganda	197723_A03_APP5118476	0.008135481	0.0124657	-0.001332444	-0.03402473	0.0008000378	-0.01425228	-0.001721352	-0.01850516	0.0183379	0.03087107
Baganda	197723_A10_APP5119166	0.006077975	0.01086654	-0.0002538429	-0.03030033	0.006338937	-0.00765261	0.0005398829	-0.01921662	0.01403769	0.03316985
Baganda	197723_A11_APP5119261	0.003444685	0.00965039	0.0002873533	-0.03006028	0.003596641	-0.01383386	0.003127175	-0.01835829	0.01263495	0.03129925
Baganda	197723_A12_APP5119354	0.006851095	0.01303102	-0.001454505	-0.03235044	0.005840024	-0.006761649	-0.002598238	-0.01784372	0.01761686	0.03648257
Baganda	197723_B05_APP5118596	0.005742588	0.01006564	-0.001099409	-0.03042032	0.006699478	-0.01095974	-0.0005005993	-0.01944751	0.01692769	0.03019557
Baganda	197723_B09_APP5119097	0.006160985	0.0106904	-0.001255924	-0.03263591	0.008596436	-0.009881591	-0.001424478	-0.01869908	0.01536927	0.03016184
Baganda	197723_B11_APP5119262	0.007383302	0.0121687	-0.003346663	-0.03326495	0.00145266	-0.01728906	0.0004020983	-0.02184193	0.01803434	0.03203307
Baganda	197723_C05_APP5118604	0.003111397	0.01174162	-0.0003023785	-0.03014475	0.006484567	-0.006759666	0.002549093	-0.02117958	0.01716289	0.02624867
Baganda	197723_C12_APP5119403	-0.003209062	0.007049873	0.001266099	-0.02436756	0.004959605	-0.01405492	0.00595881	-0.01328365	0.01133474	0.02010798
Baganda	197723_D02_APP5118419	0.006601325	0.01310239	-0.0008811166	-0.03135808	0.003654178	-0.00943647	0.008909912	-0.02107864	0.01911333	0.03623036
Baganda	197723_D04_APP5118560	0.005586856	0.01100191	-0.001191806	-0.03343815	0.001805871	-0.008407218	-0.0005788384	-0.01999468	0.01900244	0.03736075
Baganda	197723_D06_APP5118752	0.004330703	0.01139768	-0.0002860497	-0.03315092	0.001431492	-0.01151546	0.002214786	-0.02202104	0.02161656	0.04201267
Baganda	197723_D10_APP5119188	0.005647835	0.01017189	-0.001735726	-0.03061277	0.006624074	-0.01069759	-0.0007473444	-0.02113217	0.0153973	0.02443399
Baganda	197723_E02_APP5118438	0.004970119	0.01236704	-0.001604777	-0.03156088	0.00650463	-0.008694146	0.001925064	-0.01625218	0.02035782	0.03334006
Baganda	197723_E06_APP5118768	0.005465513	0.01254891	-0.0005109309	-0.02977385	0.006923546	-0.006823965	0.002911801	-0.01697703	0.01368712	0.02101013
