FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Baganda	197713_A02_APP5117366	0.05134028	0.05840917	-0.001597735	-0.08860505	0.005129351	-0.02059032	0.0008851973	-0.0322435	0.02934475	0.06216395
Baganda	197713_A06_APP5117681	0.00439906	0.04976776	-0.001852631	-0.08234529	-0.01110125	-0.02592947	0.007158494	-0.03837022	0.03042678	0.05228345
Baganda	197713_A07_APP5117723	0.02269597	0.04032109	-0.0022694	-0.0814433	0.01132194	-0.01671841	-0.0004135926	-0.04039769	0.02530105	0.04658178
Baganda	197713_A09_APP5117917	0.03017989	0.04546327	0.00135705	-0.08231093	0.007118341	-0.01877515	0.00357982	-0.03594362	0.02709346	0.0479058
Baganda	197713_B01_APP5117332	0.03824184	0.05233743	-0.002490398	-0.08852416	0.01652123	-0.01698811	0.003846504	-0.03507161	0.02668871	0.0367041
Baganda	197713_C01_APP5117336	0.03917015	0.04673588	-0.00208195	-0.0883933	0.008129353	-0.02491815	0.004641641	-0.03204787	0.02851393	0.04714419
Baganda	197713_C02_APP5117387	0.03012497	0.05261637	-0.001739424	-0.0890753	0.004632213	-0.01699386	0.009105451	-0.03837607	0.03258566	0.05154086
Baganda	197713_C06_APP5117698	0.04301967	0.05399802	-0.003226089	-0.08382188	0.005814942	-0.02024803	-0.002849282	-0.03191365	0.01527747	0.04696637
Baganda	197713_C12_APP5118278	-0.009854916	0.03224677	0.002433096	-0.07498722	0.01294424	-0.01299292	0.003187426	-0.03456435	0.02455052	0.03100588
Baganda	197713_D02_APP5117398	0.02900121	0.05035721	0.0001736795	-0.09143004	0.002234254	-0.01545013	0.002789772	-0.03033755	0.03345106	0.05189614
Baganda	197713_D10_APP5118033	0.03391401	0.05538195	-0.006934076	-0.09075514	-0.0007262558	-0.02108909	-0.0007792255	-0.03299816	0.03048585	0.05215772
Baganda	197713_E02_APP5117401	0.04417919	0.05514258	-0.004937444	-0.08422664	0.004271143	-0.0240465	0.007186974	-0.03370172	0.02079289	0.05120602
Baganda	197713_E07_APP5117760	0.0353805	0.05436899	-0.00611727	-0.08451211	0.01330556	-0.01634457	0.005352175	-0.03137922	0.03501491	0.05298811
Baganda	197713_F07_APP5117799	0.0230454	0.05105408	-0.001361843	-0.08600285	0.008139529	-0.01712306	0.006503676	-0.02938948	0.02173586	0.04576674
Baganda	197713_G01_APP5117358	0.0320426	0.04852435	-0.00161656	-0.0806362	0.007228006	-0.01580974	0.007560263	-0.03297342	0.0257443	0.0396377
Baganda	197713_G03_APP5117506	0.04227489	0.0522161	-0.002468907	-0.09034224	0.005486008	-0.01549683	0.01216415	-0.03972228	0.01910413	0.04850174
Baganda	197713_G05_APP5117676	0.03784817	0.06197764	-0.007440751	-0.08705162	0.001038211	-0.01770933	0.004110953	-0.03137097	0.03056561	0.04876159
Baganda	197713_G07_APP5117808	-0.001153912	0.03151533	-0.0013273	-0.06635859	0.01921015	-0.02616735	0.004399393	-0.0153346	0.01096358	0.04160053
Baganda	197713_G08_APP5117901	0.05205991	0.05283708	-0.00265914	-0.08334302	3.099941e-06	-0.01788193	0.003841907	-0.03910764	0.01575038	0.04160824
Baganda	197713_G09_APP5117989	0.03359505	0.0545408	-0.002549235	-0.08642013	0.01191333	-0.01493553	9.553859e-05	-0.02852037	0.02796395	0.0499909
Baganda	197713_G10_APP5118071	0.03944873	0.05566096	-0.007780087	-0.08487329	0.005317573	-0.02462729	0.006809771	-0.03176385	0.02400406	0.04572576
Baganda	197713_H04_APP5117624	-0.006307207	0.03485325	-0.001461863	-0.06738701	0.003629641	-0.01692275	0.01556936	-0.03055998	0.02565037	0.04895145
Baganda	197713_H07_APP5117809	0.03156212	0.05091298	-0.0004084657	-0.0695001	0.004969635	-0.02137866	0.007909051	-0.02749134	0.01073722	0.02596255
Baganda	197723_A03_APP5118476	0.04590969	0.05583465	-0.004173373	-0.09024422	0.001601808	-0.0250647	-0.002962263	-0.03031235	0.0296881	0.04768992
Baganda	197723_A10_APP5119166	0.03429889	0.04867189	-0.0007950658	-0.08036593	0.0126916	-0.01345822	0.0009290809	-0.03147775	0.02272628	0.0512411
Baganda	197723_A11_APP5119261	0.01943885	0.04322469	0.0009000243	-0.07972923	0.00720107	-0.02432885	0.005381534	-0.03007177	0.02045533	0.04835138
Baganda	197723_A12_APP5119354	0.03866172	0.05836671	-0.004555681	-0.08580346	0.01169269	-0.01189134	-0.004471289	-0.02922887	0.02852076	0.05635862
Baganda	197723_B05_APP5118596	0.03240626	0.04508459	-0.003443479	-0.08068418	0.01341346	-0.01927429	-0.0008614779	-0.03185596	0.02740503	0.0466464
Baganda	197723_B09_APP5119097	0.03476733	0.04788297	-0.003933701	-0.08656062	0.01721149	-0.01737821	-0.002451375	-0.03063	0.02488203	0.0465943
Baganda	197723_B11_APP5119262	0.04166504	0.05450433	-0.01048214	-0.08822902	0.002908466	-0.03040532	0.0006919683	-0.03577814	0.02919664	0.04948499
Baganda	197723_C05_APP5118604	0.01755806	0.05259141	-0.0009470852	-0.07995327	0.01298318	-0.01188785	0.004386717	-0.03469318	0.02778582	0.04054919
Baganda	197723_C12_APP5119403	-0.0181092	0.03157681	0.003965573	-0.06463037	0.00992995	-0.02471761	0.01025448	-0.02175927	0.01835035	0.031063
Baganda	197723_D02_APP5118419	0.03725223	0.05868639	-0.002759761	-0.08317141	0.007316269	-0.0165954	0.01533301	-0.03452784	0.03094347	0.055969
Baganda	197723_D04_APP5118560	0.03152743	0.04927823	-0.003732878	-0.08868842	0.003615652	-0.01478531	-0.0009961191	-0.03275226	0.03076395	0.05771525
Baganda	197723_D06_APP5118752	0.02443878	0.05105092	-0.0008959413	-0.08792659	0.002866083	-0.02025161	0.00381141	-0.03607154	0.03499608	0.06490157
Baganda	197723_D10_APP5119188	0.03187155	0.04556054	-0.005436499	-0.08119461	0.01326249	-0.01881326	-0.0012861	-0.03461552	0.02492741	0.03774587
Baganda	197723_E02_APP5118438	0.0280471	0.05539271	-0.005026352	-0.08370931	0.01302335	-0.01528992	0.003312829	-0.02662186	0.03295825	0.05150405
Baganda	197723_E06_APP5118768	0.03084268	0.05620734	-0.001600296	-0.07896955	0.01386208	-0.01200093	0.005010898	-0.0278092	0.02215873	0.03245666
Baganda	197723_F07_APP5118863	0.02067629	0.04244825	0.001440906	-0.08438482	0.006862926	-0.02103957	-0.003146407	-0.02812959	0.02470097	0.04510568
Baganda	197723_F08_APP5118986	0.03560708	0.05236467	-0.006762549	-0.08982266	0.01783814	-0.01278123	0.005252031	-0.04467049	0.03014432	0.05922953
Baganda	197723_G11_APP5119300	0.03806998	0.05407614	-0.004314871	-0.08416805	0.01085925	-0.01750105	0.0003110787	-0.03485876	0.02035038	0.03944595
Baganda	197723_H03_APP5118532	-0.02097688	0.03226384	-0.005021183	-0.07614015	0.02029376	-0.0118118	0.002898514	-0.03793084	0.03607951	0.05335956
Baganda	197723_H07_APP5118872	0.02747164	0.04977294	-0.001723898	-0.08186346	0.02504859	-0.005197172	0.007696178	-0.03044764	0.02082118	0.03883157
Baganda	197723_H12_APP5119466	0.0259966	0.05236828	-0.001818271	-0.08022835	0.009606426	-0.02317207	0.00182911	-0.04266765	0.03893804	0.06198206
Baganda	197815_G10_APP5117704	0.006525453	0.03607382	0.004352628	-0.08530184	0.02578365	-0.02105851	0.00173975	-0.03475446	0.03067847	0.0426494
Baganda	197815_G11_APP5117716	0.02793319	0.04702516	0.005996908	-0.08259879	0.01442832	-0.00951037	0.0027934	-0.03292679	0.02803593	0.04133463
Baganda	197817_C12_APP5117969	0.03869835	0.05348707	0.00522095	-0.08361672	0.008530122	-0.01990981	0.004190494	-0.03267179	0.02871663	0.0517347
Baganda	197817_D07_APP5117919	0.05547235	0.06312836	-0.001320492	-0.08916123	0.006283086	-0.01617958	0.005562209	-0.03486619	0.02311041	0.04542219
Baganda	197817_H01_APP5117859	0.005207927	0.03864571	0.005268285	-0.07352624	0.009597011	-0.01863764	-0.0007902881	-0.02744089	0.01379057	0.04703161
Baganda	197825_G12_APP5118108	-0.01043892	0.02669106	0.0001158361	-0.07091343	0.01637748	-0.0136845	-0.003285914	-0.03070179	0.01784768	0.04694747
Baganda	197828_D02_APP5119175	-0.02011687	0.01919857	0.01194881	-0.0649514	0.06024129	0.004488177	-1.970204e-05	-0.004250054	0.0003173453	0.003121999
Baganda	197829_A10_APP5119368	0.009578322	0.03764222	0.002284647	-0.07987347	0.01153168	-0.01875656	0.003172091	-0.04270507	0.03021083	0.05362893
Baganda	197831_A04_APP5118287	0.03234442	0.05349947	-0.004117422	-0.08806037	0.00946921	-0.01339688	-0.001486713	-0.03560364	0.02859056	0.04484236
Baganda	197831_F07_APP5118323	0.004595792	0.03451703	-0.0008592124	-0.07677324	0.007467263	-0.01140496	-0.0002325107	-0.03076408	0.02780559	0.04043969
Baganda	197832_A06_APP5118578	0.04519325	0.05160337	-0.00148642	-0.09306632	0.009874291	-0.01414315	-0.003313122	-0.03560499	0.02845804	0.06259271
Baganda	197832_C06_APP5118580	0.04936182	0.05217721	-0.006909258	-0.08655619	0.01185055	-0.01561055	0.00203807	-0.03024184	0.03118172	0.05358663
Baganda	197833_F07_APP5119105	0.04472718	0.05610101	-0.009026321	-0.09268333	0.01260494	-0.01738891	-0.003784453	-0.02802048	0.02145168	0.04865566
Baganda	197835_B01_APP5118388	0.02568585	0.0578892	-0.002314185	-0.08758229	0.005717168	-0.02137999	0.0002383265	-0.0329053	0.0334724	0.04889578
Baganda	197835_D08_APP5118473	0.03814439	0.04917381	-0.003556633	-0.08914687	0.007175523	-0.02419707	-0.001502305	-0.03608751	0.03157614	0.0683678
Baganda	197844_A06_APP5119444	0.005881163	0.05003041	-0.001495884	-0.0838464	0.005795574	-0.0176246	0.002833812	-0.04216907	0.02700605	0.06110299
Baganda	197844_E03_APP5119419	-0.004529183	0.03601927	-0.001929704	-0.06981883	0.01183409	-0.01966433	0.01277959	-0.03459844	0.02865338	0.04715409
Baganda	203183_G08_APP5211825	0.03838336	0.05379864	8.921354e-06	-0.09350908	0.0146563	-0.01177954	-0.003904637	-0.03022124	0.0318985	0.04680159
Baganda	216767_F10_APP5211875	0.0263779	0.03310908	0.0001220721	-0.0812774	0.02804927	-0.01900143	-0.001135961	-0.02508697	0.0122005	0.03161982
Baganda	216768_E03_APP5212025	-0.04719321	0.01205312	0.002502849	-0.0629558	0.005618897	-0.02292883	0.004407932	-0.03523412	0.02143563	0.05367071
Baganda	216786_B01_APP5211815	-0.01169281	0.03335922	-0.002451368	-0.07380469	0.01277905	-0.01771579	0.004332749	-0.03385471	0.0153462	0.04589551
Baganda	216786_B07_APP5212259	-0.02931371	0.02557436	-0.002607165	-0.07275453	0.01114287	-0.01223994	0.004399453	-0.0364516	0.03511069	0.03861511
Baganda	216787_B09_APP5211351	0.02332692	0.04580493	-0.002173225	-0.07883855	0.01634349	-0.01809765	0.008400507	-0.03041884	0.02605151	0.04476368
Baganda	216789_A02_APP5211903	0.03871456	0.05944647	-0.003868429	-0.08354983	0.0134982	-0.01413651	0.003041122	-0.0380984	0.01942724	0.04311232
Baganda	216789_F01_APP5211900	0.00881887	0.03305082	0.004096225	-0.07490527	0.01583629	-0.02213993	0.002353237	-0.03282537	0.02957649	0.03175599
Baganda	216790_H11_APP5212213	-0.01849419	0.02367519	0.002119984	-0.06352236	0.01811571	-0.02291262	0.003032446	-0.03404316	0.02243601	0.03888175
Baganda	232519_A06_APP5293145	0.04590102	0.05376473	-0.002706176	-0.08316527	0.01941825	-0.02735217	-0.0002122958	-0.03431537	0.02236716	0.04146945
Baganda	232519_D08_APP5293171	0.03014242	0.0545276	-0.002421373	-0.09154983	0.009416284	-0.009784806	0.006010509	-0.03806372	0.02376236	0.04747247
Baganda	232519_H03_APP5293126	0.0211304	0.04858545	-0.003049013	-0.08847368	-1.748105e-06	-0.01460336	0.001410861	-0.03905243	0.02613199	0.05404862
Baganda	232521_B01_APP5293337	-0.02130278	0.02418179	0.001405285	-0.07467845	0.01075376	-0.01528285	0.004115784	-0.02851028	0.03440639	0.04482363
Baganda	232521_D02_APP5293349	0.0400544	0.05578392	0.001877848	-0.08620264	0.01056944	-0.01326008	0.003927728	-0.0284236	0.01717479	0.03758935
Baganda	232521_H04_APP5293373	-0.01800496	0.01748016	0.003965252	-0.06183714	0.006790212	-0.02158081	0.004822558	-0.02811853	0.01878639	0.03987966
Baganda	232522_A11_APP5292259	-0.0197087	0.02885299	-0.0004391227	-0.07345912	0.01854097	-0.01346804	0.004887862	-0.02731749	0.02201126	0.04524861
Baganda	232522_E05_APP5292187	-0.02338648	0.02885812	-0.002009662	-0.07540277	0.01612777	-0.01369527	0.01437343	-0.03401138	0.02669853	0.05124833
Baganda	232522_F02_APP5292158	0.03536701	0.05779063	0.0006953608	-0.08689158	0.00915549	-0.01305227	0.0001455816	-0.03523694	0.02872617	0.05020301
Baganda	232522_G07_APP5292213	0.03291717	0.04506634	-0.005756235	-0.07578627	0.001388638	-0.01603625	0.001268452	-0.03380387	0.03364477	0.0502216
Baganda	232522_G11_APP5292266	-0.04150437	0.01141061	-0.002477809	-0.07212955	0.01285818	-0.01952463	-0.004671482	-0.02696049	0.03499099	0.04604708
Baganda	232623_A05_APP5292360	0.03642822	0.04825333	-0.0004508125	-0.09140849	0.0087647	-0.01458634	-0.004288328	-0.03298526	0.02940055	0.04648618
Baganda	232623_B05_APP5292363	0.02036763	0.04914068	-0.0008639487	-0.08143561	0.006631247	-0.03158633	0.00595832	-0.03165881	0.02879918	0.05558493
Baganda	232623_D06_APP5292379	0.03155218	0.04551745	-0.003376243	-0.07888314	0.008853448	-0.02039678	-0.004694057	-0.02774837	0.02682767	0.04209964
Baganda	232623_E01_APP5292307	-0.007265801	0.03182573	0.005129256	-0.07257902	0.01630547	-0.01502505	0.005453778	-0.02435603	0.02433679	0.03945218
Baganda	232623_E09_APP5292440	0.01028021	0.05102352	-0.002116253	-0.08465941	0.005320782	-0.0210601	0.01337958	-0.02799185	0.03196252	0.05023204
Baganda	232623_G06_APP5292385	0.03027318	0.04704201	-0.00221899	-0.08930275	0.007565667	-0.01008246	-0.007516742	-0.03494011	0.03374349	0.04853463
Baganda	232624_E06_APP5292528	0.009553624	0.04965689	-0.001823181	-0.07969462	0.009970886	-0.01674066	-0.005949598	-0.02316235	0.01956188	0.04918853
Baganda	232624_E09_APP5292559	0.0336213	0.05319382	-0.004524934	-0.08419045	0.007541373	-0.0174855	0.007269642	-0.0285998	0.02728721	0.05340626
Baganda	232625_F09_APP5292716	0.01246338	0.05416807	-0.004125202	-0.085693	0.009625419	-0.01607774	0.006418183	-0.02486576	0.03476643	0.05275996
Baganda	232625_G03_APP5292639	0.03548661	0.05168532	-0.0004386417	-0.09500066	0.001435396	-0.02540498	0.003097276	-0.03286767	0.02834939	0.05239388
Baganda	232627_A07_APP5292917	0.04484177	0.05839394	-0.006024223	-0.08642049	0.0007895183	-0.01933393	-0.003199488	-0.03551368	0.02807417	0.05661814
Baganda	232629_D12_APP5293994	-0.001928395	0.03743148	-0.003209446	-0.07732039	0.01574649	-0.0110727	0.008127012	-0.03040875	0.01960867	0.04643884
Baganda	232633_E02_APP5294012	0.0155244	0.04356161	0.0003519564	-0.07774813	0.01878049	-0.01352988	0.003131779	-0.0322534	0.02549593	0.04603881
Baganda	232633_F09_APP5294073	0.02065728	0.04874788	0.00134116	-0.08700041	0.008417486	-0.02053157	0.00898968	-0.03814005	0.01584389	0.03935997
Baganda	232633_H09_APP5294075	0.02751371	0.04349561	0.003005742	-0.0829886	0.01101826	-0.02369755	0.008415886	-0.03841292	0.02524685	0.0364117
Baganda	232636_B01_APP5292147	0.0003909102	0.03943482	-0.005656655	-0.08013293	0.005810002	-0.01893961	0.01198632	-0.03225754	0.02564735	0.04590554
Baganda	232638_G08_APP5293650	0.02478843	0.04024244	-0.001237906	-0.08280401	0.01379541	-0.02036476	0.006959747	-0.04220389	0.02757013	0.05202898
Baganda	232639_A02_APP5293698	0.01870873	0.0471158	-0.002031727	-0.09115346	0.01503962	-0.01107583	-0.005593241	-0.03054739	0.02805045	0.04870459
Baganda	232640_E07_APP5293846	-0.02636751	0.02908765	0.001953813	-0.06302155	0.01972451	-0.01591852	0.01387386	-0.030916	0.03603545	0.03599026
Baka	BAKA_028	0.1700405	-0.1693014	0.1778013	0.02541723	-0.01962996	0.04935932	0.01493734	-0.03915482	-0.0138635	-0.007697136
Baka	BAKA_029	0.1798022	-0.1952585	0.1959981	0.04126576	-0.01314873	0.06187255	0.009070606	-0.03624862	-0.01765218	0.01012539
Baka	BAKA_030	0.1703615	-0.1702474	0.1757065	0.02651108	-0.01558087	0.04060536	0.009044634	-0.03217657	-0.008845625	0.006520288
Baka	BAKA_032	0.1723635	-0.1759423	0.1725803	0.0285757	-0.01789317	0.04654689	0.007686153	-0.04159522	-0.01738304	-0.001478568
Baka	BAKA_035	0.1508167	-0.1201893	0.1385896	0.01132552	-0.01896292	0.03546916	0.01998182	-0.03398083	-0.01447228	-0.008353301
Baka	BAKA_036	0.1747344	-0.1805066	0.1869551	0.03153813	-0.02101878	0.05667751	0.01030737	-0.03881393	-0.01390301	0.004015284
Baka	BAKA_037	0.1613324	-0.156392	0.1609558	0.02678825	-0.01964759	0.03323268	0.01247759	-0.02827372	-0.01719426	-0.0002451841
Baka	BAKA_038	0.1708465	-0.1772891	0.1783153	0.03261783	-0.01605211	0.05401774	0.005567389	-0.03524862	-0.01202147	0.008317305
Baka	BAKA_039	0.1775376	-0.1898024	0.1867449	0.03354033	-0.02110048	0.0560097	0.01288385	-0.03821516	-0.01989142	-0.006806179
Baka	BAKA_040	0.1791604	-0.185674	0.1884015	0.0311449	-0.01649319	0.05727173	0.01458364	-0.03680182	-0.01315441	-0.009254214
Baka	BAKA_042	0.1694596	-0.1735147	0.1797189	0.03219243	-0.02186931	0.04426291	0.009247026	-0.02979608	-0.007579586	0.009985586
Baka	BAKA_043	0.1773745	-0.1918711	0.1855033	0.02829929	-0.01638977	0.04097974	0.01295731	-0.02394685	-0.009649718	0.007502708
Baka	BAKA_044	0.1714097	-0.1748528	0.1901004	0.02689176	-0.01808214	0.06390861	0.0151269	-0.04492849	-0.01754191	-0.003487735
Baka	BAKA_045	0.1626584	-0.1622514	0.1619772	0.02222914	-0.0210753	0.04712688	0.009248993	-0.03381184	-0.01572676	-0.002735059
Baka	BAKA_046	0.1636884	-0.1700856	0.1736464	0.02301665	-0.02004474	0.05238434	0.01251747	-0.0388685	-0.02026193	-0.001580968
Baka	BAKA_047	0.1706706	-0.1719584	0.1813559	0.0203387	-0.01221244	0.06036669	0.013481	-0.03464	-0.01532957	-0.005378993
Baka	BAKA_048	0.1742198	-0.176611	0.1820129	0.02815641	-0.02231009	0.06987821	0.01308459	-0.04758554	-0.02059777	-0.00427793
Baka	BAKA_049	0.1574327	-0.1486304	0.1533777	0.02341011	-0.01890635	0.04709036	0.01926797	-0.03234506	-0.01989201	-0.001353664
Baka	BAKA_050	0.1615859	-0.1536411	0.1597757	0.02104415	-0.02040875	0.03279203	0.01672064	-0.02574322	-0.01621505	0.002611876
Baka	BAKA_052	0.1469183	-0.1132513	0.1278938	0.008957374	-0.01428643	0.02039758	0.01499018	-0.01387522	-0.01071392	0.002159731
Baka	BAKA_053	0.1723714	-0.1882372	0.1791939	0.02473185	-0.01673733	0.04866109	0.00891799	-0.02603481	-0.01765734	-0.001933197
Baka	BAKA_055	0.1393277	-0.1003935	0.1263978	0.003052149	-0.01809643	0.03025098	0.02168895	-0.02707281	-0.01710542	-0.004709008
Baka	BAKA_056	0.1797781	-0.1895533	0.1930186	0.03354027	-0.02196242	0.06167865	0.02154495	-0.04634634	-0.01979453	-0.001104229
Baka	BAKA_057	0.1608388	-0.1400923	0.1626051	0.01961762	-0.02069307	0.0498762	0.02152621	-0.02968163	-0.01478612	-0.001799985
